id,adult,backdrop_path,genre_ids,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
110275,FALSE,,"[99, 35, 18]",en,"I, an Actress","An actress and a director run through a melodramatic scene, speaking to a mannequin.",1.176717,/irdMcW8ODt3imawgWtYF7oMQXDW.jpg,12/9/1977,"I, an Actress",FALSE,6.3,4
205034,FALSE,,[18],en,Ronan's Escape,"This visually stunning short film set in the rural wheat belt of Western Australia, provides a candid insight into the life of Ronan, a 14 yr old boy who's been bullied his whole life at school. This accurate &amp; controversial portrayal of life for someone who has fallen victim to bullying and the repercussions which exist, is told by director A.J. Carter in a unique, exposition intensive format with very little use of dialogue. Ronan's Escape presents arbitrary scenes rather than traditional storytelling which provokes audiences into discussion and interpretation of the scenes on a more personal level while reflecting on their own experiences.",1.176208,/azXy6fGqH0MoMu6WTifqIXCRskx.jpg,2/15/2010,Ronan's Escape,FALSE,9,3
33435,FALSE,,[35],ja,Lemon no koro,"The experiences and relationships of five senior students at a rural high school, during the last year leading to graduation.",1.17495,/1jIXuyUSTFnVgmOkoQ2qUGMdkoL.jpg,7/7/2007,The Graduates,FALSE,7,1
270783,FALSE,,"[18, 53]",en,Write to Kill,"In this thriller, Jamie Sanford is murdered by a group of counterfeiters when he attempts to expose them in order to secure an early parole. However, when aspiring writer Clark learns of his brothers death, he sets out to exact revenge and bring the guilty to justice while being framed for his brothers murder.",1.174419,/dQdxgTiK7BiJhkc4v407BRHJTkG.jpg,11/20/1991,Write to Kill,FALSE,5,1
50673,FALSE,,"[35, 18, 10749]",en,Life in Flight,"Will is a rising star in New York City architecture, managing a tough project and negotiating to join an important firm. He rarely smiles. His wife Catherine is on the rise as well, as the social engine of his success. They have a son, about eight. Will hits a bump when he meets Kate, a designer of smaller spaces whose work Will has seen (at his son's school). He recommends her for a project, neglects to tell her he's married, and sort of seems available. She falls hard, then meets Catherine and gets a job offer in L.A. Should Will sign with the big firm, go with Catherine on a dream vacation in the Caribbean, and wonder about Kate in L.A.? A flock of birds may hold the answer.",1.174142,/sPzLTx5Bn2gbiIgON2u42KsVXSp.jpg,9/12/2008,Life in Flight,FALSE,5,2
90875,FALSE,,[18],en,Out of the Rain,The heir (Michael O'Keefe) to a small-town tannery follows a young woman (Bridget Fonda) to the truth about his brother's death.,1.173285,/keZjqSoq8yqUVSInRae93zDE8Bo.jpg,5/23/1991,Out of the Rain,FALSE,0,0
28858,FALSE,/l5jmVfoFVA2KfXxSBZagCvmeE0K.jpg,"[99, 36]",en,Brothers at War,"BROTHERS AT WAR is an intimate portrait of an American family during a turbulent time.  Jake Rademacher sets out to understand the experience, sacrifice, and motivation of his two brothers serving in Iraq. The film follows Jake’s exploits as he risks everything—including his life—to tell his brothers’ story.",1.173009,/uZ2Lea61Lvp6o0f1J8g1az3fc45.jpg,3/13/2009,Brothers at War,FALSE,6,1
19598,FALSE,/3kpxv3hokC1UcBquBzl0hQqTQ3E.jpg,"[18, 10749]",en,Leaving Barstow,"Growing up in Barstow, CA, high school senior Andrew hopes for a bigger world -- but his devotion to his mother, Sandra, and his awakening attraction to newcomer Jenny, combine to keep him tied to home. Andrew's loyalties become confused and his prior ambitions begin to fade as he realizes he must make the most difficult of all decisions -- choosing between himself and the people he loves.",1.172822,/7bqu0X69w8TfQpOpEqUkr6C7k3E.jpg,4/29/2008,Leaving Barstow,FALSE,7,2
9832,FALSE,,"[35, 18]",en,Kill the Poor,"When a marriage of convenience becomes the real thing, Joe moves his pregnant French wife to a tenement building on New York's Lower East Side. The street is like a war zone with none of the nostalgic appeal that Joe remembers from tales of his immigrant grandparents arriving in the same neighborhood with a new life. This is the urban frontier filled with comic mixture of gentrifies, homeboys, dealers and local residents simply bent on staying a float",1.172746,/vKZc69EYNXyq6EzQ2K49ymwLgNS.jpg,3/9/2003,Kill the Poor,FALSE,0,0
368823,FALSE,,[35],en,Goodbye Baby,An ambitious young woman who can't afford to pay for college throws caution to the wind by moving to New York City and attempting to break into the toughest stand-up comedy circuit in the country.,1.171863,/oDL9ZOsPteEU1K1rpdAUbVwZVDl.jpg,3/12/2007,Goodbye Baby,FALSE,6,1
